"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Sabrina Carpenter","emails i can’t send","2qLyo5FeWquE7HBUbcVnEy",0.515,0.387,7,-10.614,1,0.192,0.757,0,0.622,0.408,86.313,104408,3
"LANY","Malibu Nights","0Eqg0CQ7bK3RQIMPw1A7pl",0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,286928,4
"Hayd","Don't Go, Don't Leave","3Cg9Ds1CWQUGuQoQ9QvjDl",0.603,0.409,10,-10.567,1,0.0401,0.409,0.0392,0.111,0.282,132.041,195660,4
"Ruth B.","Dandelions","2eAvDnpXP5W0cVtiI0PUxV",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,233720,3
"HONNE","Crying Over You ◐","7i1pavASRUZk62ejaUIESa",0.385,0.62,1,-8.316,0,0.147,0.0815,0,0.352,0.415,75.564,242672,4
"Hailee Steinfeld","Wrong Direction","5Qsp8mtshe70DX7EYbWZGo",0.39,0.388,10,-9.017,1,0.0355,0.472,0,0.157,0.187,72.934,248987,4
"NIKI","La La Lost You - Acoustic Version","0e2wfbDK7ppotqyUWD7qs8",0.617,0.196,1,-11.652,1,0.0557,0.908,0,0.348,0.39,101.156,208511,4
"Olivia Rodrigo","happier","2tGvwE8GcFKwNdAXMnlbfl",0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933,3
"Sody","is your bedroom ceiling bored? (feat. Rxseboy) - Fudasca Remix","3XwEo4mEovAVPd3cNUN4Dy",0.521,0.347,6,-12.716,1,0.164,0.463,0,0.091,0.198,123.996,191119,4
"Rex Orange County","Pluto Projector","4EWBhKf1fOFnyMtUzACXEc",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,267520,4
"Blake Rose","Gone","2dPT9UxyHm71quNyj3C4YE",0.317,0.545,11,-6.439,0,0.0468,0.039,0,0.116,0.14,139.014,205462,5
"Rex Orange County","Untitled","40GRJBeHKroMtWwGX9EFyQ",0.568,0.199,9,-9.601,1,0.101,0.905,0,0.131,0.329,83.827,135707,5
"Ariana Grande","Moonlight","1qcJdr8TYuGjFhjRoYNC3e",0.633,0.412,9,-7.339,1,0.0284,0.42,3.57e-06,0.048,0.214,102.215,202360,3
"Luke Chiang","May I Ask","3BajoSb3TjPbcOC873OjbD",0.716,0.369,2,-9.216,1,0.0468,0.353,0,0.0897,0.389,146.021,230592,4
"5 Seconds of Summer","Ghost Of You","1MhXdlCQPnO56T57MfmaRm",0.458,0.561,10,-4.819,1,0.0269,0.0965,0,0.156,0.206,149.875,197411,3
"Mac Miller","Come Back to Earth","01z2fBGB8Hl3Jd3zXe4IXR",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,161840,4
"Stephen Sanchez","Evangeline","7vANkmN3lIED9QkNS48N14",0.462,0.574,3,-7.127,1,0.0314,0.0887,0,0.159,0.184,109.256,177677,4
"april june","stuck on you","5fkRXB8f07EDw7Eg6qkTzI",0.532,0.546,9,-8.092,1,0.0267,0.35,0.00549,0.0963,0.155,146.633,167440,4
"Zeph","could you love me while i hate myself","7uo2L5FAja3pWIBa3HJVeC",0.68,0.406,9,-11.313,1,0.0414,0.782,0.00019,0.11,0.551,119.901,60333,4
"Alessia Cara","Out Of Love","4WzhjxvLP95y7AMDy0Atwb",0.481,0.267,7,-9.249,1,0.0339,0.8,0,0.249,0.137,117.64,227693,3
"Suriel Hess","Sick of You","1aDp8xY9kW41COJILd8fHZ",0.571,0.384,7,-8.946,1,0.034,0.781,0,0.152,0.375,95.938,152591,4
"Vansire","From the Subway Train","0qOCy2LqvdkMora7eZsJhQ",0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,57370,4
"Joji","1AM FREESTYLE","0FqBNLXlTNimxmVRdDMj6b",0.615,0.541,0,-6.307,0,0.0263,0.748,0.00268,0.12,0.124,126.049,113067,4
"Matt Maltese","Everyone Adores You (at least I do)","6klFWv2xDGeTDoiKTtx4hg",0.599,0.427,5,-9.037,1,0.0242,0.747,0.105,0.0984,0.111,73.801,203133,4
"Mokita","Lonely City","4q3biaQQoADspV16lbsfPH",0.735,0.37,5,-12.581,0,0.0705,0.389,0.00163,0.106,0.305,112.015,157524,4
"Christian Kuria","So","1SVBQ2FfuFFLXe9hUHoFlY",0.539,0.407,2,-10.927,0,0.0326,0.814,0.00257,0.125,0.379,79.99,160500,4
"SZA","Kill Bill","1Qrg8KqiBpW07V7PNxwwwL",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4
"Beach Weather","Sex, Drugs, Etc.","7MlDNspYwfqnHxORufupwq",0.57,0.842,4,-5.085,0,0.0381,0.0136,0.00876,0.524,0.47,143.975,196784,4
"Vansire","Evening Light","4qde41KNfJv2TyrKC1kug7",0.552,0.416,4,-11.072,1,0.0317,0.888,0.000522,0.109,0.497,86.089,130813,4
"Matt Maltese","Krystal","5JJPfHpByZ66XsEyCNVi2p",0.521,0.509,3,-8.059,1,0.0276,0.738,0.784,0.119,0.37,153.563,220245,4
